Athlete,Country,Sport,Event,Medal
PORTE Valentin,France,Handball,Men,silver
PROUVENSIER Marie,France,Handball,Women,silver
SORHAINDO Cedric,France,Handball,Men,silver
ZAADI DEUNA Grace,France,Handball,Women,silver
AGBEGNENOU Clarisse,France,Judo,Women -63 kg,silver
TCHEUMEO Audrey,France,Judo,Women -78 kg,silver
ANDEOL Emilie,France,Judo,Women +78 kg,gold
RINER Teddy,France,Judo,Men +100 kg,gold
MARET Cyrille,France,Judo,Men -100 kg,bronze
OLIVIER Marc-Antoine,France,Marathon Swimming,Men's 10km,bronze
CLOUVEL Elodie,France,Modern Pentathlon,Women's Individual,silver
AZOU Jeremie,France,Rowing,Lightweight Men's Double Sculls,gold
HOUIN Pierre,France,Rowing,Lightweight Men's Double Sculls,gold
BAROUKH Thomas,France,Rowing,Lightweight Men's Four,bronze
COLARD Thibault,France,Rowing,Lightweight Men's Four,bronze
RAINEAU Guillaume,France,Rowing,Lightweight Men's Four,bronze
SOLFOROSI Franck,France,Rowing,Lightweight Men's Four,bronze
PICON Charline,France,Sailing,RS:X Women,gold
DEFRANCE Helene,France,Sailing,470 Women,bronze
LE COQ Pierre,France,Sailing,RS:X Men,bronze
LECOINTRE Camille,France,Sailing,470 Women,bronze
QUIQUAMPOIX Jean,France,Shooting,25m Rapid Fire Pistol Men,silver
RAYNAUD Alexis,France,Shooting,50m Rifle 3 Positions Men,bronze
MANAUDOU Florent,France,Swimming,Men's 50m Freestyle,silver
MANAUDOU Florent,France,Swimming,Men's 4 x 100m Freestyle Relay,silver
GILOT Fabien,France,Swimming,Men's 4 x 100m Freestyle Relay,silver
METELLA Mehdy,France,Swimming,Men's 4 x 100m Freestyle Relay,silver
MEYNARD William,France,Swimming,Men's 4 x 100m Freestyle Relay,silver
MIGNON Clement,France,Swimming,Men's 4 x 100m Freestyle Relay,silver
STRAVIUS Jeremy,France,Swimming,Men's 4 x 100m Freestyle Relay,silver
NIARE Haby,France,Taekwondo,Women -67kg,silver
LIPARTELIANI Varlam,Georgia,Judo,Men -90 kg,silver
SHAVDATUASHVILI Lasha,Georgia,Judo,Men -73 kg,bronze
TALAKHADZE Lasha,Georgia,Weightlifting,Men's +105kg,gold
TURMANIDZE Irakli,Georgia,Weightlifting,Men's +105kg,bronze
KHINCHEGASHVILI Vladimer,Georgia,Wrestling,Men's Freestyle 57 kg,gold
BOLKVADZE Shmagi,Georgia,Wrestling,Men's Greco-Roman 66 kg,bronze
PETRIASHVILI Geno,Georgia,Wrestling,Men's Freestyle 125 kg,bronze
UNRUH Lisa,Germany,Archery,Women's Individual,silver
HAMBUECHEN Fabian,Germany,Artistic Gymnastics,Men's Horizontal Bar,gold
SCHEDER Sophie,Germany,Artistic Gymnastics,Women's Uneven Bars,bronze
HARTING Christoph,Germany,Athletics,Men's Discus Throw,gold
ROHLER Thomas,Germany,Athletics,Men's Javelin Throw,gold
JASINSKI Daniel,Germany,Athletics,Men's Discus Throw,bronze
LUDWIG Laura,Germany,Beach Volleyball,Women,gold
WALKENHORST Kira,Germany,Beach Volleyball,Women,gold
HARUTYUNYAN Artem,Germany,Boxing,Men's Light Welter (64kg),bronze
DIETZE Tina,Germany,Canoe Sprint,Women's Kayak Four 500m,silver
DIETZE Tina,Germany,Canoe Sprint,Women's Kayak Double 500m,silver
WEBER Franziska,Germany,Canoe Sprint,Women's Kayak Four 500m,silver
WEBER Franziska,Germany,Canoe Sprint,Women's Kayak Double 500m,silver
HERING Sabrina,Germany,Canoe Sprint,Women's Kayak Four 500m,silver
KRIEGERSTEIN Steffi,Germany,Canoe Sprint,Women's Kayak Four 500m,silver
BRENDEL Sebastian,Germany,Canoe Sprint,Men's Canoe Double 1000m,gold
BRENDEL Sebastian,Germany,Canoe Sprint,Men's Canoe Single 1000m,gold
GROSS Marcus,Germany,Canoe Sprint,Men's Kayak Four 1000m,gold
GROSS Marcus,Germany,Canoe Sprint,Men's Kayak Double 1000m,gold
RENDSCHMIDT Max,Germany,Canoe Sprint,Men's Kayak Four 1000m,gold
RENDSCHMIDT Max,Germany,Canoe Sprint,Men's Kayak Double 1000m,gold
HOFF Max,Germany,Canoe Sprint,Men's Kayak Four 1000m,gold
LIEBSCHER Tom,Germany,Canoe Sprint,Men's Kayak Four 1000m,gold
VANDREY Jan,Germany,Canoe Sprint,Men's Canoe Double 1000m,gold
RAUHE Ronald,Germany,Canoe Sprint,Men's Kayak Single 200m,bronze
VOGEL Kristina,Germany,Cycling Track,Women's Sprint,gold
VOGEL Kristina,Germany,Cycling Track,Women's Team Sprint,bronze
WELTE Miriam,Germany,Cycling Track,Women's Team Sprint,bronze
HAUSDING Patrick,Germany,Diving,Men's 3m Springboard,bronze
JUNG Michael,Germany,Equestrian,Eventing Team,silver
WERTH Isabell,Germany,Equestrian,Dressage Individual,silver
AUFFARTH Sandra,Germany,Equestrian,Eventing Team,silver
KLIMKE Ingrid,Germany,Equestrian,Eventing Team,silver
KRAJEWSKI Julia,Germany,Equestrian,Eventing Team,silver
JUNG Michael,Germany,Equestrian,Eventing Individual,gold
WERTH Isabell,Germany,Equestrian,Dressage Team,gold
BRORING-SPREHE Kristina,Germany,Equestrian,Dressage Team,gold
ROTHENBERGER Sonke,Germany,Equestrian,Dressage Team,gold
SCHNEIDER Dorothee,Germany,Equestrian,Dressage Team,gold
BRORING-SPREHE Kristina,Germany,Equestrian,Dressage Individual,bronze
AHLMANN Christian,Germany,Equestrian,Jumping Team,bronze
BEERBAUM Ludger,Germany,Equestrian,Jumping Team,bronze
DEUSSER Daniel,Germany,Equestrian,Jumping Team,bronze
MICHAELS-BEERBAUM Meredith,Germany,Equestrian,Jumping Team,bronze
BAUER Robert,Germany,Football,Men,silver
BENDER Lars,Germany,Football,Men,silver
BENDER Sven,Germany,Football,Men,silver
BITTENCOURT Leonardo,Germany,Football,Men,silver
BRANDT Julian,Germany,Football,Men,silver
CHRISTIANSEN Max,Germany,Football,Men,silver
GINTER Matthias,Germany,Football,Men,silver
GNABRY Serge,Germany,Football,Men,silver
GORETZKA Leon,Germany,Football,Men,silver
GUENTER Christian,Germany,Football,Men,silver
HORN Timo,Germany,Football,Men,silver
HUTH Jannik,Germany,Football,Men,silver
KERK Sebastian,Germany,Football,Men,silver
KLOSTERMANN Lukas,Germany,Football,Men,silver
MAX Philipp,Germany,Football,Men,silver
MEYER Maximilian,Germany,Football,Men,silver
OELSCHLAEGEL Eric,Germany,Football,Men,silver
PETERSEN Nils,Germany,Football,Men,silver
PROEMEL Grischa,Germany,Football,Men,silver
SELKE Davie,Germany,Football,Men,silver
SUELE Niklas,Germany,Football,Men,silver
TOLJAN Jeremy,Germany,Football,Men,silver
BARTUSIAK Saskia,Germany,Football,Women,gold
BEHRINGER Melanie,Germany,Football,Women,gold
BENKARTH Laura,Germany,Football,Women,gold
DAEBRITZ Sara,Germany,Football,Women,gold
GOESSLING Lena,Germany,Football,Women,gold
HENDRICH Kathrin,Germany,Football,Women,gold
HENNING Josephine,Germany,Football,Women,gold
HUTH Svenja,Germany,Football,Women,gold
ISLACKER Mandy,Germany,Football,Women,gold
KEMME Tabea,Germany,Football,Women,gold
KERSCHOWSKI Isabel,Germany,Football,Women,gold
KRAHN Annike,Germany,Football,Women,gold
LAUDEHR Simone,Germany,Football,Women,gold
LEUPOLZ Melanie,Germany,Football,Women,gold
MAGULL Lina,Germany,Football,Women,gold
MAIER Leonie,Germany,Football,Women,gold
MAROZSAN Dzsenifer,Germany,Football,Women,gold
MITTAG Anja,Germany,Football,Women,gold
PETER Babett,Germany,Football,Women,gold
POPP Alexandra,Germany,Football,Women,gold
SCHULT Almuth,Germany,Football,Women,gold
WEISS Lisa,Germany,Football,Women,gold
DISSINGER Christian,Germany,Handball,Men,bronze
DRUX Paul,Germany,Handball,Men,bronze
FATH Steffen,Germany,Handball,Men,bronze
GENSHEIMER Uwe,Germany,Handball,Men,bronze
GROETZKI Patrick,Germany,Handball,Men,bronze
HAFNER Kai,Germany,Handball,Men,bronze
HEINEVETTER Silvio,Germany,Handball,Men,bronze
KUHN Julius,Germany,Handball,Men,bronze
LEMKE Finn,Germany,Handball,Men,bronze
PEKELER Hendrik,Germany,Handball,Men,bronze
REICHMANN Tobias,Germany,Handball,Men,bronze
STROBEL Martin,Germany,Handball,Men,bronze
WEINHOLD Steffen,Germany,Handball,Men,bronze
WIEDE Fabian,Germany,Handball,Men,bronze
WIENCEK Patrick,Germany,Handball,Men,bronze
WOLFF Andreas,Germany,Handball,Men,bronze
ALTENBURG Lisa,Germany,Hockey,Women,bronze
BUTT Linus,Germany,Hockey,Men,bronze
DEECKE Oskar,Germany,Hockey,Men,bronze
FRANK Yvonne,Germany,Hockey,Women,bronze
FUCHS Florian,Germany,Hockey,Men,bronze
FURSTE Moritz,Germany,Hockey,Men,bronze
GRAMBUSCH Mats,Germany,Hockey,Men,bronze
GRAMBUSCH Tom,Germany,Hockey,Men,bronze
HANER Martin,Germany,Hockey,Men,bronze
HAUKE Franzisca,Germany,Hockey,Women,bronze
HAUKE Tobias,Germany,Hockey,Men,bronze
HERZBRUCH Timm,Germany,Hockey,Men,bronze
JACOBI Nicolas,Germany,Hockey,Men,bronze
KORN Oliver,Germany,Hockey,Men,bronze
KRUGER Hannah,Germany,Hockey,Women,bronze
LORENZ Nike,Germany,Hockey,Women,bronze
MAVERS Marie,Germany,Hockey,Women,bronze
MULLER Julia,Germany,Hockey,Women,bronze
MULLER Mathias,Germany,Hockey,Men,bronze
MULLER-WIELAND Janne,Germany,Hockey,Women,bronze
OLDHAFER Pia-Sophie,Germany,Hockey,Women,bronze
ORUZ Selin,Germany,Hockey,Women,bronze
ORUZ Timur,Germany,Hockey,Men,bronze
OTTE Katharina,Germany,Hockey,Women,bronze
PIEPER Cecile,Germany,Hockey,Women,bronze
REYNOLDS Kristina,Germany,Hockey,Women,bronze
RUHR Christopher,Germany,Hockey,Men,bronze
SCHRODER Anne,Germany,Hockey,Women,bronze
SCHUTZE Lisa,Germany,Hockey,Women,bronze
SPRINK Annika,Germany,Hockey,Women,bronze
STAPENHORST Charlotte,Germany,Hockey,Women,bronze
TESCHKE Jana,Germany,Hockey,Women,bronze
TROMPERTZ Moritz,Germany,Hockey,Men,bronze
WELLEN Niklas,Germany,Hockey,Men,bronze
WESLEY Christopher,Germany,Hockey,Men,bronze
ZWICKER Martin,Germany,Hockey,Men,bronze
VARGAS KOCH Laura,Germany,Judo,Women -70 kg,bronze
DRAHOTTA Felix,Germany,Rowing,Men's Eight,silver
JAKSCHIK Malte,Germany,Rowing,Men's Eight,silver
JOHANNESEN Eric,Germany,Rowing,Men's Eight,silver
KUFFNER Andreas,Germany,Rowing,Men's Eight,silver
MUNSKI Maximilian,Germany,Rowing,Men's Eight,silver
OCIK Hannes,Germany,Rowing,Men's Eight,silver
REINELT Maximilian,Germany,Rowing,Men's Eight,silver
SAUER Martin,Germany,Rowing,Men's Eight,silver
SCHMIDT Richard,Germany,Rowing,Men's Eight,silver
BAER Carina,Germany,Rowing,Women's Quadruple Sculls,gold
GRUHNE Hans,Germany,Rowing,Men's Quadruple Sculls,gold
LIER Julia,Germany,Rowing,Women's Quadruple Sculls,gold
SCHMIDLA Lisa,Germany,Rowing,Women's Quadruple Sculls,gold
SCHOOF Lauritz,Germany,Rowing,Men's Quadruple Sculls,gold
SCHULZE Karl,Germany,Rowing,Men's Quadruple Sculls,gold
THIELE Annekatrin,Germany,Rowing,Women's Quadruple Sculls,gold
WENDE Philipp,Germany,Rowing,Men's Quadruple Sculls,gold
HEIL Erik,Germany,Sailing,49er Men,bronze
PLOESSEL Thomas,Germany,Sailing,49er Men,bronze
KARSCH Monika,Germany,Shooting,25m Pistol Women,silver
ENGLEDER Barbara,Germany,Shooting,50m Rifle 3 Positions Women,gold
JUNGHAENEL Henri,Germany,Shooting,50m Rifle Prone Men,gold
REITZ Christian,Germany,Shooting,25m Rapid Fire Pistol Men,gold
HAN Ying,Germany,Table Tennis,Women's Team,silver
SHAN Xiaona,Germany,Table Tennis,Women's Team,silver
SOLJA Petrissa,Germany,Table Tennis,Women's Team,silver
BOLL Timo,Germany,Table Tennis,Men's Team,bronze
OVTCHAROV Dimitrij,Germany,Table Tennis,Men's Team,bronze
STEGER Bastian,Germany,Table Tennis,Men's Team,bronze
KERBER Angelique,Germany,Tennis,Women's Singles,silver
KUDLA Denis Maksymilian,Germany,Wrestling,Men's Greco-Roman 85 kg,bronze
SMITH Louis,Great Britain,Artistic Gymnastics,Men's Pommel Horse,silver
WHITLOCK Max,Great Britain,Artistic Gymnastics,Men's Pommel Horse,gold
WHITLOCK Max,Great Britain,Artistic Gymnastics,Men's Floor Exercise,gold
WHITLOCK Max,Great Britain,Artistic Gymnastics,Men's Individual All-Around,bronze
TINKLER Amy,Great Britain,Artistic Gymnastics,Women's Floor Exercise,bronze
WILSON Nile,Great Britain,Artistic Gymnastics,Men's Horizontal Bar,bronze
ENNIS-HILL Jessica,Great Britain,Athletics,Women's Heptathlon,silver
FARAH Mohamed,Great Britain,Athletics,Men's 5000m,gold
FARAH Mohamed,Great Britain,Athletics,"Men's 10,000m",gold
ADEOYE Margaret,Great Britain,Athletics,Women's 4 x 400m Relay,bronze
ASHER-SMITH Dina,Great Britain,Athletics,Women's 4 x 100m Relay,bronze
BLOOR Louise,Great Britain,Athletics,Women's 4 x 100m Relay,bronze
BUNDY-DAVIES Seren,Great Britain,Athletics,Women's 4 x 400m Relay,bronze
DIAMOND Emily,Great Britain,Athletics,Women's 4 x 400m Relay,bronze
DOYLE Eilidh,Great Britain,Athletics,Women's 4 x 400m Relay,bronze
HENRY Desiree,Great Britain,Athletics,Women's 4 x 100m Relay,bronze
HITCHON Sophie,Great Britain,Athletics,Women's Hammer Throw,bronze
MASSEY Kelly,Great Britain,Athletics,Women's 4 x 400m Relay,bronze
NEITA Daryll,Great Britain,Athletics,Women's 4 x 100m Relay,bronze
NELSON Ashleigh,Great Britain,Athletics,Women's 4 x 100m Relay,bronze
OHURUOGU Christine,Great Britain,Athletics,Women's 4 x 400m Relay,bronze
ONUORA Anyika,Great Britain,Athletics,Women's 4 x 400m Relay,bronze
PHILIP Asha,Great Britain,Athletics,Women's 4 x 100m Relay,bronze
RUTHERFORD Greg,Great Britain,Athletics,Men's Long Jump,bronze
WILLIAMS Bianca,Great Britain,Athletics,Women's 4 x 100m Relay,bronze
ELLIS Marcus,Great Britain,Badminton,Men's Doubles,bronze
LANGRIDGE Chris,Great Britain,Badminton,Men's Doubles,bronze
JOYCE Joe,Great Britain,Boxing,Men's Super Heavy (+91kg),silver
ADAMS Nicola,Great Britain,Boxing,Women's Fly (48-51kg),gold
BUATSI Joshua,Great Britain,Boxing,Men's Light Heavy (81kg),bronze
FLORENCE David,Great Britain,Canoe Slalom,Canoe Double (C2) Men,silver
HOUNSLOW Richard,Great Britain,Canoe Slalom,Canoe Double (C2) Men,silver
CLARKE Joseph,Great Britain,Canoe Slalom,Kayak (K1) Men,gold
HEATH Liam,Great Britain,Canoe Sprint,Men's Kayak Double 200m,silver
SCHOFIELD Jon,Great Britain,Canoe Sprint,Men's Kayak Double 200m,silver
HEATH Liam,Great Britain,Canoe Sprint,Men's Kayak Single 200m,gold
FROOME Christopher,Great Britain,Cycling Road,Men's Individual Time Trial,bronze
CAVENDISH Mark,Great Britain,Cycling Track,Men's Omnium,silver
SKINNER Callum,Great Britain,Cycling Track,Men's Sprint,silver
JAMES Rebecca,Great Britain,Cycling Track,Women's Sprint,silver
JAMES Rebecca,Great Britain,Cycling Track,Women's Keirin,silver
KENNY Jason,Great Britain,Cycling Track,Men's Keirin,gold
KENNY Jason,Great Britain,Cycling Track,Men's Sprint,gold
KENNY Jason,Great Britain,Cycling Track,Men's Team Sprint,gold
TROTT Laura,Great Britain,Cycling Track,Women's Omnium,gold
TROTT Laura,Great Britain,Cycling Track,Women's Team Pursuit,gold
CAVENDISH Mark,Great Britain,Cycling Track,Men's Team Pursuit,gold
SKINNER Callum,Great Britain,Cycling Track,Men's Team Sprint,gold
ARCHIBALD Katie,Great Britain,Cycling Track,Women's Team Pursuit,gold
BARKER Elinor,Great Britain,Cycling Track,Women's Team Pursuit,gold
BURKE Steven,Great Britain,Cycling Track,Men's Team Pursuit,gold
CLANCY Edward,Great Britain,Cycling Track,Men's Team Pursuit,gold
DOULL Owain,Great Britain,Cycling Track,Men's Team Pursuit,gold
HINDES Philip,Great Britain,Cycling Track,Men's Team Sprint,gold
HORNE Ciara,Great Britain,Cycling Track,Women's Team Pursuit,gold
ROWSELL-SHAND Joanna,Great Britain,Cycling Track,Women's Team Pursuit,gold
WIGGINS Bradley,Great Britain,Cycling Track,Men's Team Pursuit,gold
MARCHANT Katy,Great Britain,Cycling Track,Women's Sprint,bronze
LAUGHER Jack,Great Britain,Diving,Men's 3m Springboard,silver
LAUGHER Jack,Great Britain,Diving,Men's Synchronised 3m Springboard,gold
MEARS Chris,Great Britain,Diving,Men's Synchronised 3m Springboard,gold
DALEY Thomas,Great Britain,Diving,Men's Synchronised 10m Platform,bronze
GOODFELLOW Daniel,Great Britain,Diving,Men's Synchronised 10m Platform,bronze
DUJARDIN Charlotte,Great Britain,Equestrian,Dressage Team,silver
BIGWOOD Fiona,Great Britain,Equestrian,Dressage Team,silver
HESTER Carl,Great Britain,Equestrian,Dressage Team,silver
WILTON Spencer,Great Britain,Equestrian,Dressage Team,silver
DUJARDIN Charlotte,Great Britain,Equestrian,Dressage Individual,gold
SKELTON Nick,Great Britain,Equestrian,Jumping Individual,gold
ROSE Justin,Great Britain,Golf,Men's Individual Stroke Play,gold
ANSLEY Giselle,Great Britain,Hockey,Women,gold
BRAY Sophie,Great Britain,Hockey,Women,gold
CULLEN Crista,Great Britain,Hockey,Women,gold
DANSON Alexandra,Great Britain,Hockey,Women,gold
HINCH Maddie,Great Britain,Hockey,Women,gold
LEIGH Joanna,Great Britain,Hockey,Women,gold
MACLEOD Hannah,Great Britain,Hockey,Women,gold
MCCALLIN Shona,Great Britain,Hockey,Women,gold
OWSLEY Lily,Great Britain,Hockey,Women,gold
QUEK Samantha,Great Britain,Hockey,Women,gold
RICHARDSON-WALSH Helen,Great Britain,Hockey,Women,gold
RICHARDSON-WALSH Kate,Great Britain,Hockey,Women,gold
TOWNSEND Susannah,Great Britain,Hockey,Women,gold
TWIGG Georgina,Great Britain,Hockey,Women,gold
UNSWORTH Laura,Great Britain,Hockey,Women,gold
WATTON Eleanor,Great Britain,Hockey,Women,gold
WEBB Hollie,Great Britain,Hockey,Women,gold
WHITE Nicola,Great Britain,Hockey,Women,gold
CONWAY Sally,Great Britain,Judo,Women -70 kg,bronze
BENNETT Karen,Great Britain,Rowing,Women's Eight,silver
CARNEGIE-BROWN Olivia,Great Britain,Rowing,Women's Eight,silver
DE TOLEDO Zoe,Great Britain,Rowing,Women's Eight,silver
EDDIE Jessica,Great Britain,Rowing,Women's Eight,silver
GRAINGER Katherine,Great Britain,Rowing,Women's Double Sculls,silver
GREVES Katie,Great Britain,Rowing,Women's Eight,silver
HOUGHTON Frances,Great Britain,Rowing,Women's Eight,silver
LEE Zoe,Great Britain,Rowing,Women's Eight,silver
SWANN Polly,Great Britain,Rowing,Women's Eight,silver
THORNLEY Victoria,Great Britain,Rowing,Women's Double Sculls,silver
WILSON Melanie,Great Britain,Rowing,Women's Eight,silver
BENNETT Paul,Great Britain,Rowing,Men's Eight,gold
DURANT Scott,Great Britain,Rowing,Men's Eight,gold
GLOVER Helen,Great Britain,Rowing,Women's Pair,gold
GOTREL Matt,Great Britain,Rowing,Men's Eight,gold
GREGORY Alex,Great Britain,Rowing,Men's Four,gold
HILL Phelan,Great Britain,Rowing,Men's Eight,gold
HODGE Andrew T,Great Britain,Rowing,Men's Eight,gold
LANGRIDGE Matt,Great Britain,Rowing,Men's Eight,gold
LOULOUDIS Constantine,Great Britain,Rowing,Men's Four,gold
NASH George,Great Britain,Rowing,Men's Four,gold
RANSLEY Tom,Great Britain,Rowing,Men's Eight,gold
REED Pete,Great Britain,Rowing,Men's Eight,gold
SATCH William,Great Britain,Rowing,Men's Eight,gold
SBIHI Mohamed,Great Britain,Rowing,Men's Four,gold
STANNING Heather,Great Britain,Rowing,Women's Pair,gold
BENNETT Mark,Great Britain,Rugby Sevens,Men,silver
BIBBY Dan,Great Britain,Rugby Sevens,Men,silver
BURGESS Phil,Great Britain,Rugby Sevens,Men,silver
CROSS Sam,Great Britain,Rugby Sevens,Men,silver
DAVIES James,Great Britain,Rugby Sevens,Men,silver
LINDSAY-HAGUE Oliver,Great Britain,Rugby Sevens,Men,silver
MCCONNOCHIE Ruaridh,Great Britain,Rugby Sevens,Men,silver
MITCHELL Tom,Great Britain,Rugby Sevens,Men,silver
NORTON Dan,Great Britain,Rugby Sevens,Men,silver
ROBERTSON Mark,Great Britain,Rugby Sevens,Men,silver
RODWELL James,Great Britain,Rugby Sevens,Men,silver
WATSON Marcus,Great Britain,Rugby Sevens,Men,silver
DEMPSEY Nick,Great Britain,Sailing,RS:X Men,silver
CLARK Saskia,Great Britain,Sailing,470 Women,gold
MILLS Hannah,Great Britain,Sailing,470 Women,gold
SCOTT Giles,Great Britain,Sailing,Finn Men,gold
LING Edward,Great Britain,Shooting,Trap Men,bronze
SCOTT Steven,Great Britain,Shooting,Double Trap Men,bronze
PEATY Adam,Great Britain,Swimming,Men's 4 x 100m Medley Relay,silver
CARLIN Jazz,Great Britain,Swimming,Women's 800m Freestyle,silver
CARLIN Jazz,Great Britain,Swimming,Women's 400m Freestyle,silver
GUY James,Great Britain,Swimming,Men's 4 x 100m Medley Relay,silver
GUY James,Great Britain,Swimming,Men's 4 x 200m Freestyle Relay,silver
SCOTT Duncan,Great Britain,Swimming,Men's 4 x 100m Medley Relay,silver
SCOTT Duncan,Great Britain,Swimming,Men's 4 x 200m Freestyle Relay,silver
MILNE Stephen,Great Britain,Swimming,Men's 4 x 200m Freestyle Relay,silver
O'CONNOR Siobhan-Marie,Great Britain,Swimming,Women's 200m Individual Medley,silver
RENWICK Robbie,Great Britain,Swimming,Men's 4 x 200m Freestyle Relay,silver
WALKER-HEBBORN Chris,Great Britain,Swimming,Men's 4 x 100m Medley Relay,silver
WALLACE Dan,Great Britain,Swimming,Men's 4 x 200m Freestyle Relay,silver
PEATY Adam,Great Britain,Swimming,Men's 100m Breaststroke,gold
MUHAMMAD Lutalo,Great Britain,Taekwondo,Men -80kg,silver
JONES Jade,Great Britain,Taekwondo,Women -57kg,gold
WALKDEN Bianca,Great Britain,Taekwondo,Women +67kg,bronze
MURRAY Andy,Great Britain,Tennis,Men's Singles,gold
PAGE Bryony,Great Britain,Trampoline Gymnastics,Women,silver
BROWNLEE Jonathan,Great Britain,Triathlon,Men,silver
BROWNLEE Alistair,Great Britain,Triathlon,Men,gold
HOLLAND Vicky,Great Britain,Triathlon,Women,bronze
PETROUNIAS Eleftherios,Greece,Artistic Gymnastics,Men's Rings,gold
STEFANIDI Ekaterini,Greece,Athletics,Women's Pole Vault,gold
GIANNIOTIS Spiros,Greece,Marathon Swimming,Men's 10km,silver
KAGIALIS Pavlos,Greece,Sailing,470 Men,bronze
MANTIS Panagiotis,Greece,Sailing,470 Men,bronze
KORAKAKI Anna,Greece,Shooting,25m Pistol Women,gold
KORAKAKI Anna,Greece,Shooting,10m Air Pistol Women,bronze
JAMES Kirani,Grenada,Athletics,Men's 400m,silver
MARTON Anita,Hungary,Athletics,Women's Shot Put,bronze
KOZAK Danuta,Hungary,Canoe Sprint,Women's Kayak Four 500m,gold
KOZAK Danuta,Hungary,Canoe Sprint,Women's Kayak Single 500m,gold
KOZAK Danuta,Hungary,Canoe Sprint,Women's Kayak Double 500m,gold
SZABO Gabriella,Hungary,Canoe Sprint,Women's Kayak Four 500m,gold
SZABO Gabriella,Hungary,Canoe Sprint,Women's Kayak Double 500m,gold
CSIPES Tamara,Hungary,Canoe Sprint,Women's Kayak Four 500m,gold
FAZEKAS-ZUR Krisztina,Hungary,Canoe Sprint,Women's Kayak Four 500m,gold
IMRE Geza,Hungary,Fencing,Men's Épée Individual,silver
SZASZ Emese,Hungary,Fencing,Women's Épée Individual,gold
SZILAGYI Aron,Hungary,Fencing,Men's Sabre Individual,gold
IMRE Geza,Hungary,Fencing,Men's Épée Team,bronze
BOCZKO Gabor,Hungary,Fencing,Men's Épée Team,bronze
REDLI Andras,Hungary,Fencing,Men's Épée Team,bronze
SOMFAI Peter,Hungary,Fencing,Men's Épée Team,bronze
HOSSZU Katinka,Hungary,Swimming,Women's 200m Backstroke,silver
CSEH Laszlo,Hungary,Swimming,Men's 100m Butterfly,silver
HOSSZU Katinka,Hungary,Swimming,Women's 200m Individual Medley,gold
HOSSZU Katinka,Hungary,Swimming,Women's 100m Backstroke,gold
HOSSZU Katinka,Hungary,Swimming,Women's 400m Individual Medley,gold
KAPAS Boglarka,Hungary,Swimming,Women's 800m Freestyle,bronze
KENDERESI Tamas,Hungary,Swimming,Men's 200m Butterfly,bronze
PUSARLA V. Sindhu,India,Badminton,Women's Singles,silver
MALIK Sakshi,India,Wrestling,Women's Freestyle 58 kg,bronze
AHMAD Tontowi,Indonesia,Badminton,Mixed Doubles,gold
NATSIR Liliyana,Indonesia,Badminton,Mixed Doubles,gold
AGUSTIANI Sri Wahyuni,Indonesia,Weightlifting,Women's 48kg,silver
IRAWAN Eko Yuli,Indonesia,Weightlifting,Men's 62kg,silver
ALDEEHANI Fehaid,IOA,Shooting,Double Trap Men,gold
ALRASHIDI Abdullah,IOA,Shooting,Skeet Men,bronze
ALIZADEH ZENOORIN Kimia,Iran,Taekwondo,Women -57kg,bronze
MORADI Sohrab,Iran,Weightlifting,Men's 94kg,gold
ROSTAMI Kianoush,Iran,Weightlifting,Men's 85kg,gold
GHASEMI Komeil Nemat,Iran,Wrestling,Men's Freestyle 125 kg,silver
YAZDANICHARATI Hassan Aliazam,Iran,Wrestling,Men's Freestyle 74 kg,gold
ABDVALI Saeid Morad,Iran,Wrestling,Men's Greco-Roman 75 kg,bronze
RAHIMI Hassan Sabzali,Iran,Wrestling,Men's Freestyle 57 kg,bronze
REZAEI Ghasem Gholamreza,Iran,Wrestling,Men's Greco-Roman 98 kg,bronze
O'DONOVAN Gary,Ireland,Rowing,Lightweight Men's Double Sculls,silver
O'DONOVAN Paul,Ireland,Rowing,Lightweight Men's Double Sculls,silver
MURPHY Annalise,Ireland,Sailing,Laser Radial Women,silver
GERBI Yarden,Israel,Judo,Women -63 kg,bronze
SASSON Or,Israel,Judo,Men +100 kg,bronze
LUPO Daniele,Italy,Beach Volleyball,Men,silver
NICOLAI Paolo,Italy,Beach Volleyball,Men,silver
LONGO BORGHINI Elisa,Italy,Cycling Road,Women's Road Race,bronze
VIVIANI Elia,Italy,Cycling Track,Men's Omnium,gold
CAGNOTTO Tania,Italy,Diving,Women's Synchronised 3m Springboard,silver
DALLAPE' Francesca,Italy,Diving,Women's Synchronised 3m Springboard,silver
CAGNOTTO Tania,Italy,Diving,Women's 3m Springboard,bronze
DI FRANCISCA Elisa,Italy,Fencing,Women's Foil Individual,silver
FIAMINGO Rossella,Italy,Fencing,Women's Épée Individual,silver
FICHERA Marco,Italy,Fencing,Men's Épée Team,silver
GAROZZO Enrico,Italy,Fencing,Men's Épée Team,silver
PIZZO Paolo,Italy,Fencing,Men's Épée Team,silver
SANTARELLI Andrea,Italy,Fencing,Men's Épée Team,silver
GAROZZO Daniele,Italy,Fencing,Men's Foil Individual,gold
GIUFFRIDA Odette,Italy,Judo,Women -52 kg,silver
BASILE Fabio,Italy,Judo,Men -66 kg,gold
BRUNI Rachele,Italy,Marathon Swimming,Women's 10km,silver
ABAGNALE Giovanni,Italy,Rowing,Men's Pair,bronze
